Name,Allegiances,died,Gender,Nobility
Addam Marbrand,Lannister,0,1,1
Aegon Frey (Jinglebell),None,1,1,1
Aegon Targaryen,House Targaryen,0,1,1
Adrack Humble,House Greyjoy,1,1,1
Aemon Costayne,Lannister,0,1,1
Aemon Estermont,Baratheon,0,1,1
Aemon Targaryen (son of Maekar I),Night's Watch,1,1,1
Aenys Frey,None,1,0,1
Aeron Greyjoy,House Greyjoy,0,1,1
Aethan,Night's Watch,0,1,0
Aggar,House Greyjoy,1,1,0
Aggo,House Targaryen,0,1,0
Alan of Rosby,Night's Watch,1,1,1
Alayaya,None,0,0,0
Albar Royce,Arryn,0,1,1
Albett,Night's Watch,0,1,0
Alebelly,House Stark,1,1,0
Alerie Hightower,House Tyrell,0,0,1
Alesander Staedmon,Baratheon,0,1,1
Alester Florent,Baratheon,1,1,1
Alia of Braavos,None,0,0,0
Alla Tyrell,House Tyrell,0,0,1
Allard Seaworth,Baratheon,1,1,1
Alliser Thorne,Night's Watch,0,1,0
Alyn,House Stark,1,1,0
Alyn Ambrose,Tyrell,0,1,1
Alyn Estermont,Baratheon,0,1,1
Alyn Stackspear,Lannister,0,1,1
Alys Karstark,Stark,0,0,1
Alysane Mormont,Stark,0,0,1
Alyx Frey,None,0,1,1
Ambrode,Greyjoy,0,1,0
Amory Lorch,House Lannister,1,1,1
Andar Royce,Arryn,0,1,1
Andrew Estermont,Baratheon,0,1,1
Andrey Dalt,Martell,0,1,1
Andrik,Greyjoy,0,1,1
Anguy,None,0,1,0
Antario Jast,Lannister,0,1,1
Anvil Ryn,None,1,1,0
Anya Waynwood,Arryn,0,0,1
Archibald Yronwood,Martell,0,1,1
Ardrian Celtigar,Baratheon,0,1,1
Areo Hotah,House Martell,0,1,0
Arianne Martell,House Martell,0,0,1
Arneld,Lannister,0,1,0
Arnolf Karstark,Stark,0,1,1
Aron Santagar,Lannister,1,1,1
Arron,Night's Watch,0,1,0
Arron Qorgyle,Martell,0,1,1
Arryk (Guard),House Tyrell,0,1,0
Arson,Wildling,0,1,0
Arthor Karstark,Stark,0,1,1
Arwyn Frey,None,0,0,1
Arwyn Oakheart,Tyrell,0,0,1
Arya Stark,Stark,0,0,1
Arys Oakheart,Lannister,1,1,1
Asha Greyjoy,House Greyjoy,0,0,1
Aurane Waters,Lannister,0,1,0
Axell Florent,Baratheon,0,1,1
Azzak,None,0,1,1
Ballabar,Lannister,0,1,0
Balon Swann,Lannister,0,1,1
Bannen,Night's Watch,1,1,0
Barbrey Dustin,Stark,0,0,1
Barra,None,1,0,0
Barristan Selmy,Targaryen,0,1,1
Barsena,None,1,0,0
Barth (brewer),House Stark,0,1,0
Bass,Night's Watch,0,1,0
Bayard Norcross,Tyrell,0,1,1
Bearded Ben,Night's Watch,0,1,0
Becca,House Arryn,0,0,0
Becca the Baker,None,1,0,0
Bedwyck,Night's Watch,0,1,0
Belaquo,None,0,1,0
Bella,None,0,0,0
Bellegere Otherys (courtesan),None,0,0,1
Bellonara Otherys,None,0,0,1
Belwas,House Targaryen,0,1,0
Ben,None,0,1,0
Ben Bones,None,0,1,0
Ben Plumm,None,0,1,0
Benedar Belmore,Arryn,0,1,1
Benfred Tallhart,Stark,1,1,1
Benfrey Frey,None,1,1,1
Benjen Stark,Night's Watch,1,1,1
Bennet,None,1,1,0
Beric Dondarrion,None,1,1,1
Bessa (Winterfell),Stark,0,0,0
Beth Cassel,Stark,0,0,1
Bhakaz zo Loraq,None,0,1,1
Big Boil,Wildling,0,1,0
Big Walder Frey,None,0,1,1
Biter,None,1,1,0
Black Bernarr,Night's Watch,0,1,0
Black Walder Frey,None,0,1,1
Blane,Night's Watch,0,1,0
Bloodbeard,None,0,1,0
Blue Bard,House Tyrell,0,1,0
Bonifer Hasty,Lannister,0,1,1
Borcas,Night's Watch,0,1,0
Boremund Harlaw,Greyjoy,0,1,1
Boros Blount,Baratheon,0,1,1
Borroq,Wildling,0,1,0
Bowen Marsh,Night's Watch,0,1,0
Bran Stark,House Stark,0,1,1
Brandon Norrey,Stark,0,1,1
Brenett,None,0,1,0
Brienne of Tarth,Stark,0,0,1
Bronn,Lannister,0,1,1
Brown Bernarr,Night's Watch,1,1,0
Brusco,None,0,1,0
Bryan Fossoway,Baratheon,1,1,1
Bryce Caron,Baratheon,1,1,1
Bryen,None,0,1,0
Bryen Farring,Baratheon,1,1,1
Brynden Rivers,House Targaryen,0,1,1
Brynden Tully,House Tully,0,1,1
Burton Crakehall,Lannister,1,1,1
Butterbumps,House Tyrell,0,1,0
Byam Flint,Night's Watch,1,1,0
Byan Votyris,None,0,1,0
Byron,Arryn,0,1,0
Cadwyn,House Lannister,0,1,0
Caleotte,House Martell,0,1,0
Catelyn Tully,House Stark,1,0,1
Cayn,House Stark,1,1,0
Cellador,Night's Watch,0,1,0
Cersei Frey,None,0,0,1
Cersei Lannister,House Lannister,0,0,1
Chataya,None,0,0,0
Chayle,Stark,1,1,0
Chella,Lannister,0,0,0
Chett,Night's Watch,1,1,0
Chiggen,Lannister,1,1,0
Chiswyck,None,1,1,0
Clayton Suggs,Baratheon,0,1,0
Clement Piper,Tully,0,1,1
Cleos Frey,None,1,1,1
Cley Cerwyn,Stark,1,1,1
Clubfoot Karl,Night's Watch,1,1,0
Clydas,Night's Watch,0,1,0
Cohollo,None,1,1,0
Coldhands,None,0,1,0
Colemon,House Arryn,0,1,0
Colen of Greenpools,House Baratheon,0,1,1
Conn,Lannister,1,1,0
Conwy,Night's Watch,0,1,0
Corliss Penny,Baratheon,0,1,0
Cortnay Penrose,Baratheon,1,1,1
Cotter Pyke,Night's Watch,0,1,0
Cragorn,House Greyjoy,1,1,0
Craster,None,1,1,0
Cregan Karstark,Stark,0,1,1
Creighton Longbough,None,0,1,0
Cressen,Baratheon,1,1,0
Cuger,Night's Watch,0,1,0
Cutjack,None,0,1,0
Daario Naharis,Targaryen,0,1,0
Dacey Mormont,Stark,1,0,1
Daemon Sand,Martell,0,1,0
Daenerys Targaryen,House Targaryen,0,0,1
Dagon Codd,Greyjoy,1,1,1
Dagmer,House Greyjoy,0,1,0
Dalbridge,Night's Watch,1,1,0
Dale Seaworth,Baratheon,1,1,1
Dalla,Wildling,1,0,1
Dalla (Dragonstone),Baratheon,0,0,0
Damon Dance-for-Me,None,0,1,0
Damon Vypren,None,0,1,1
Dancy,None,0,0,0
Danwell Frey,None,0,1,1
Dareon,Night's Watch,1,1,0
Daryn Hornwood,Stark,1,1,1
Daven Lannister,House Lannister,0,1,1
Davos Seaworth,Baratheon,0,1,1
Del,Wildling,1,1,0
Delp,House Tully,1,1,0
Denys Drumm,Greyjoy,0,1,1
Denys Mallister,Night's Watch,0,1,1
Dermot,Baratheon,0,1,0
Desmond,House Stark,1,1,0
Desmond Grell,Tully,0,1,1
Devan Seaworth,Baratheon,0,1,1
Deziel Dalt,Martell,0,1,1
Dhazzar,None,0,1,1
Dick Crabb,None,1,1,0
Dick Follard,Night's Watch,1,1,0
Dickon Manwoody,Martell,0,1,1
Dirk,Night's Watch,1,1,0
Dobber,None,1,1,0
Donal Noye,Night's Watch,1,1,0
Donella Hornwood,Stark,1,0,1
Donnel Drumm,Greyjoy,0,1,1
Donnel Haigh,None,0,1,1
Donnel Hill,Night's Watch,0,1,0
Donnel Locke,Stark,1,1,1
Donnel Waynwood,Tully,0,1,1
Donnis,House Stark,0,1,0
Dontos Hollard,None,1,1,1
Donyse,None,0,0,0
Doran Martell,Martell,0,1,1
Doreah,House Targaryen,1,0,0
Dornish Dilly,Night's Watch,1,1,0
Draqaz,None,0,1,1
Drennan,House Greyjoy,1,1,0
Drogo,Targaryen,1,1,1
Dudley,Stark,1,1,0
Dunsen,None,0,1,0
Dunstan Drumm,Greyjoy,0,1,1
Duram Bar Emmon,Baratheon,0,1,1
Dykk Harlaw,Greyjoy,1,1,0
Dywen,Night's Watch,0,1,0
Easy,Night's Watch,1,1,0
Ebben,Night's Watch,1,1,0
Eddard Karstark,Stark,1,1,1
Eddard Stark,House Stark,1,1,1
Eddison Tollett,Night's Watch,0,1,0
Edmure Tully,House Tully,0,1,1
Edric Dayne,None,0,1,1
Edric Storm,House Baratheon,0,1,0
Edwyn Frey,None,0,1,1
Eggon,None,0,1,0
Elder Brother,None,0,1,0
Eldred Codd,Greyjoy,0,1,1
Eleyna Westerling,Stark,0,0,1
Elinor Tyrell,Tyrell,0,0,1
Ellaria Sand,Martell,0,0,1
Elmar Frey,None,0,1,1
Elyas Willum,Baratheon,0,1,1
Emmon Cuy,Baratheon,1,1,1
Emmon Frey,Lannister,0,1,1
Emmond,Greyjoy,0,1,0
Emrick,Night's Watch,0,1,0
Endehar,Greyjoy,0,1,0
Elwood,House Tully,1,1,0
Endrew Tarth,Night's Watch,1,1,0
Enger,House Tully,0,1,0
Eon Hunter,Arryn,1,1,1
Erik Ironmaker,Greyjoy,0,1,1
Ermesande Hayford,None,0,0,1
Eroeh,Targaryen,1,1,0
Erreck,None,0,1,0
Erryk (Guard),House Tyrell,0,1,0
Esgred,Greyjoy,0,1,0
Ezzara,Targaryen,0,0,0
Falia Flowers,Greyjoy,0,0,0
Falyse Stokeworth,Lannister,1,0,1
Farlen,House Stark,1,1,0
Fat Walda Frey,None,0,0,1
Flement Brax,Lannister,0,1,1
Fletcher Will,None,1,1,0
Fogo,None,1,1,1
Forley Prester,Lannister,0,1,1
Fornio,Night's Watch,0,1,0
Frenken,Lannister,0,1,0
Frenya,Wildling,1,0,0
Frynne,Martell,0,0,0
Gage,House Stark,0,1,1
Galazza Galare,None,0,0,1
Galbart Glover,Stark,0,1,1
Gared,Night's Watch,1,1,0
Garin (Orphan),Martell,0,1,0
Gariss,House Stark,0,1,0
Garlan Tyrell,House Tyrell,0,1,1
Garrett Paege,Lannister,0,1,1
Garse Goodbrook,None,1,1,1
Garth Greyfeather,Night's Watch,1,1,0
Garth of Greenaway,Night's Watch,1,1,0
Garth of Oldtown,Night's Watch,1,1,0
Gawen Westerling,Stark,0,1,1
Gelmarr,House Greyjoy,1,1,0
Gendry,None,0,1,0
Genna Lannister,Lannister,0,0,1
Gerald Gower,Baratheon,0,1,1
Gerold Dayne,Martell,0,1,1
Gerren,None,1,1,0
Gerris Drinkwater,Martell,0,1,1
Gevin Harlaw,Greyjoy,1,1,1
Ghael,None,0,1,0
Ghost of High Heart,None,0,0,0
Gillam,None,0,1,0
Gilly,Wildling,0,0,0
Gilwood Hunter,Arryn,0,1,1
Gladden Wylde,Stark,1,1,1
Glendon Hewett,Night's Watch,0,1,0
Goady,Night's Watch,0,1,0
Godric Borrell,None,0,1,1
Godry Farring,Baratheon,0,1,1
Godwyn,House Lannister,0,1,0
Goghor,None,0,1,0
Gormond Goodbrother,Greyjoy,0,1,1
Gorold Goodbrother,Greyjoy,0,1,1
Gran Goodbrother,Greyjoy,0,1,1
Grazdan,None,1,1,1
Grazdan mo Eraz,None,0,1,1
Grazdan mo Ullhor,None,1,1,1
Grazdan zo Galare,None,0,1,1
Grazdar zo Galare,None,0,1,1
Gregor Clegane,Lannister,1,1,1
Grenn,Night's Watch,0,1,0
Grey Worm,Targaryen,0,1,0
Greydon Goodbrother,Greyjoy,0,1,1
Grigg,Wildling,0,1,0
Grisel,None,0,0,0
Groleo,House Targaryen,1,1,0
Grubbs,Night's Watch,1,1,0
Grunt,None,0,1,0
Gueren,Night's Watch,0,1,0
Guncer Sunglass,Baratheon,1,1,1
Guyard Morrigen,Baratheon,1,1,1
Gwin Goodbrother,Greyjoy,0,0,1
Gylbert Farwynd,Greyjoy,0,1,1
Gyles Farwynd,Greyjoy,0,1,1
Gyles Grafton,Arryn,0,1,1
Gyles Rosby,Lannister,1,1,1
Gynir,House Greyjoy,1,1,0
